customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_charge_ratio
7590-VHVEG,1,0,0,0,29.85,29.85,0,0.03350083752093802
5575-GNVDE,34,1,1,1,56.95,1889.5,0,0.5970149253731343
3668-QPYBK,2,1,0,1,53.85,108.15,1,0.03714020427112349
7795-CFOCW,45,0,1,2,42.3,1840.75,0,1.0638297872340425
9237-HQITU,2,1,0,0,70.7,151.65,1,0.028288543140028287
9305-CDSKC,8,1,0,0,99.65,820.5,1,0.08028098344204716
1452-KIOVK,22,1,0,3,89.1,1949.4,0,0.2469135802469136
6713-OKOMC,10,0,0,1,29.75,301.9,0,0.33613445378151263
7892-POOKP,28,1,0,0,104.8,3046.05,1,0.26717557251908397
6388-TABGU,62,1,1,2,56.15,3487.95,0,1.1041852181656278
9763-GRSKD,13,1,0,1,49.95,587.45,0,0.2602602602602602
7469-LKBCI,16,1,2,3,18.95,326.8,0,0.8443271767810027
8091-TTVAX,58,1,1,3,100.35,5681.1,0,0.5779770802192327
0280-XJGEX,49,1,0,2,103.7,5036.3,1,0.47251687560270006
5129-JLPIS,25,1,0,0,105.5,2686.05,0,0.23696682464454977
3655-SNQYZ,69,1,2,3,113.25,7895.15,0,0.609271523178808
8191-XWSZG,52,1,1,1,20.65,1022.95,0,2.5181598062953996
9959-WOFKT,71,1,2,2,106.7,7382.25,0,0.6654170571696345
4190-MFLUW,10,1,0,3,55.2,528.35,1,0.18115942028985507
4183-MYFRB,21,1,0,0,90.05,1862.9,0,0.2332037756801777
8779-QRDMV,1,0,0,0,39.65,39.65,1,0.025220680958385876
1680-VDCWW,12,1,1,2,19.8,202.25,0,0.6060606060606061
1066-JKSGK,1,1,0,1,20.15,20.15,1,0.04962779156327544
3638-WEABW,58,1,2,3,59.9,3505.1,0,0.9682804674457429
6322-HRPFA,49,1,0,3,59.6,2970.3,0,0.8221476510067114
6865-JZNKO,30,1,0,2,55.3,1530.6,0,0.5424954792043399
